project_id,project_type,title,gpt4o_primary_code,gpt4o_primary_title,gpt4o_confidence,gpt4o_reason,gpt41_primary_code,gpt41_primary_title,gpt41_confidence,gpt41_reason,exact_code_agreement,manual_correct_model,manual_notes
13928,QD_PROJECT,"Engineering Rapamycin-Induced
Dimerization for Control
of Gene Expression in Plants",A01,"Crop and animal production, hunting and related service activities",0.92,"The project focuses on engineering gene expression systems in plants, which aligns with agricultural practices and biotechnology.",A01,"Crop and animal production, hunting and related service activities",0.85,"The project focuses on engineering gene expression control in plants, which aligns primarily with agriculture (A01), while also involving scientific research and development (N72) due to the synthetic biology and molecular engineering aspects.",True,,
13948,QD_PROJECT,Human Resource Management Practices in Botswana's Mining Sector: A Qualitative Exploration,B09,Mining support service activities,0.85,"The project focuses on human resource management practices specifically within the mining sector, making B09 the most relevant classification.",O78,Employment activities,0.9,"The project focuses on human resource management practices within the mining sector, which aligns with employment activities rather than mining extraction or manufacturing.",False,,
14328,QD_PROJECT,This repository contains - Meteorological and Snow Cover Data and Machine Learning–Based Gap-Filling of Satellite Snow Products Using Time-Lapse Photography and Meteorological Data Procedure,N72,Scientific research and development,0.85,The project focuses on scientific research and development related to snow cover data and machine learning techniques.,N72,Scientific research and development,0.95,"The project focuses on scientific research integrating meteorological and satellite data with machine learning to reconstruct snow cover, fitting best under scientific research and development.",True,,
14335,QD_PROJECT,Transparantie in de circulaire economie onder de CSRD: de kloof tussen richtlijnen en realiteit,F41,Construction of residential and non-residential buildings,0.85,"The project focuses on qualitative research regarding sustainability practices in the construction sector, which aligns with construction activities.",F41,Construction of residential and non-residential buildings,0.9,"The project focuses on circular economy practices and sustainability reporting within the construction sector, which aligns best with construction of residential and non-residential buildings (F41).",True,,
14387,QD_PROJECT,"Raw data, Plant Biology 2026 doi:10.1111/plb.70223, On the relationship between photosystem II thermotolerance and irreversible heat damage in leaves of <i>Rhizophora mangle</i>",A02,Forestry and logging,0.92,"The research focuses on plant biology and the thermotolerance of a specific tree species, which aligns with forestry and logging activities.",A02,Forestry and logging,0.9,"The project studies heat tolerance in leaves of Rhizophora mangle, a mangrove tree species, which falls under forestry and logging activities (A02) rather than general scientific research or agriculture.",True,,
14469,QD_PROJECT,Atlantic salmon gut metatranscriptomic data,A03,Fishing and aquaculture,0.85,"The project focuses on metatranscriptomic data from the gut of Atlantic salmon, which relates to the aquaculture sector.",A03,Fishing and aquaculture,0.95,"The project focuses on metatranscriptomic data from the gut of Atlantic salmon juveniles, which relates to aquaculture activities under fishing and aquaculture (A03).",True,,
14934,QD_PROJECT,Data For: Building a 4E Interview-Grounded Theory Model: A Case Study of Demand Factors for Customized Furniture,C31,Manufacture of furniture,0.92,"The project focuses on demand factors for customized furniture, which falls under the manufacture of furniture.",G47,Retail trade,0.9,"The project focuses on consumer demand factors for customized furniture, which aligns with retail trade activities rather than manufacturing or scientific research.",False,,
14980,QD_PROJECT,Data for: Demand for law and the security of property rights: The case of Post-soviet Russia,N69,Legal and accounting activities,0.92,"The project focuses on legal aspects and property rights in the context of businesses, which aligns with legal and accounting activities.",N69,Legal and accounting activities,0.95,"The project focuses on law, property rights, and legal security in a business context, aligning best with Legal and accounting activities (N69).",True,,
15477,QD_PROJECT,Interview Evert Nijland,S92,Gambling and betting activities,0.85,"The project focuses on the artistic process and collaboration in jewelry design, which aligns with cultural activities.",S90,Arts creation and performing arts activities,0.95,"The project focuses on the artistic creation and design process of jewelry, including craftsmanship and exhibition, which aligns with arts creation and performing arts activities.",False,,
15676,QD_PROJECT,"Interview with Jan Pesman on an architectural model of the Heiwo System, Delft, 15 April 2016",N71,Architectural and engineering activities; technical testing and analysis,0.92,"The project focuses on architectural conservation and restoration, which falls under architectural and engineering activities.",S91,"Library, archives, museum and other cultural activities",0.92,"The project focuses on conservation of an architectural model within a cultural heritage context, aligning best with museum and cultural activities under S91.",False,,
15983,QD_PROJECT,"Project Ongekend Bijzonder, Rotterdam, interview 28",Q85,Education,0.9,"The project focuses on the educational background and community contributions of individuals, which aligns with the domain of education.",T94,Activities of membership organizations,0.85,"The project focuses on qualitative interviews about personal and community experiences, including volunteering and social issues, fitting best with activities of membership organizations rather than education or public administration.",False,,
16199,QD_PROJECT,Burglary in factories / plants / offices 1995,O80,Investigation and security activities,0.92,"The project focuses on the investigation and analysis of burglary incidents in commercial settings, which aligns with security activities.",O80,Investigation and security activities,0.95,"The project focuses on commercial burglary and security measures in factories and offices, which aligns with investigation and security activities (O80).",True,,
16391,QD_PROJECT,Vakantie in Zeeland en op Goeree 1972,I55,Accommodation,0.92,"The project focuses on holiday residences and accommodations in Zeeland, which aligns with the accommodation sector.",I55,Accommodation,0.9,"The project focuses on holiday residence, accommodation, and related activities in Zeeland, which aligns with accommodation services under I55.",True,,
16686,QD_PROJECT,Studying household energy consumption: 19 essential spatial data,D35,"Electricity, gas, steam and air conditioning supply",0.85,"The project focuses on household energy consumption, which relates to electricity and gas supply, making D35 the most relevant classification.",N72,Scientific research and development,0.85,"The project is primarily scientific research analyzing determinants of household energy consumption using spatial and socioeconomic data, fitting best under scientific research and development (N72).",False,,
16690,QD_PROJECT,Most important strategic and managerial factors for plant-based milk analogue entrance in China using Blue Ocean Strategy,C11,Manufacture of beverages,0.85,"The project focuses on the strategic factors for entering the plant-based milk market, which falls under the manufacture of beverages.",N73,"Activities of advertising, market research and public relations",0.9,"The project focuses on strategic and managerial factors for market entry and competitive landscape analysis in the plant-based milk industry, aligning best with market research and professional activities in N73 rather than manufacturing or agriculture.",False,,
17081,QD_PROJECT,Data for: Learning and Forgetting in the Jet Fighter Aircraft Industry,C30,Manufacture of other transport equipment,0.92,"The project focuses on the production costs and learning curves in the aircraft manufacturing sector, specifically related to military fighter jets.",C30,Manufacture of other transport equipment,0.95,"The project focuses on production costs and learning curves in the jet fighter aircraft industry, which aligns with the manufacture of other transport equipment (C30).",True,,
17174,QD_PROJECT,"Arab-West Report 1998, Week 14-48: Press Freedom, Religious Freedom, and Religious Tensions in Egypt",J58,Publishing activities,0.92,The project focuses on publishing special reports related to press and religious freedom issues in Egypt.,T94,Activities of membership organizations,0.85,"The project focuses on reports and discussions about press freedom, religious freedom, and human rights issues, which align with activities of membership organizations rather than education, public administration, or media production.",False,,
18044,QD_PROJECT,"Javanen in Diaspora, interview met Carmen Karta",I56,Food and beverage service activities,0.85,"The project focuses on the experiences of a person who runs a food service establishment, highlighting cultural aspects and personal history related to food and community.",N74,"Other professional, scientific and technical activities",0.85,"The project is a qualitative social research interview focusing on personal and cultural experiences of diaspora, fitting best under other professional, scientific and technical activities rather than education or health.",False,,
18087,QD_PROJECT,"Getuigen Verhalen, Verplicht varen voor koningin en vaderland, interview 05",H50,Water transport,0.85,"The project focuses on maritime activities during wartime, specifically related to shipping and naval operations.",H50,Water transport,0.9,"The project focuses on the historical role and experiences of merchant shipping during wartime, which aligns with water transport activities.",True,,
18430,QDA_PROJECT,Marie Garnier PhD Research Project,J58,Publishing activities,0.85,"The project involves the analysis of newspaper articles, which falls under publishing activities.",N72,Scientific research and development,0.9,"The project is a doctoral research involving qualitative analysis of newspaper articles, fitting best under scientific research and development (N72).",False,,
18557,QD_PROJECT,"Interviewcollectie Stichting Mondelinge Geschiedenis Indonesië, interview 1678",B08,Other mining and quarrying,0.85,"The project focuses on geological observations and the potential for oil accumulation in New Guinea, which aligns with mining and quarrying activities.",B06,Extraction of crude petroleum and natural gas,0.9,"The project focuses on geological observations and sedimentological mapping to assess potential oil accumulation, which aligns with extraction of crude petroleum and natural gas activities.",False,,
18697,QD_PROJECT,"Veteranen Instituut, IPNV, interview 751",P84,Public administration and defence; compulsory social security,0.92,"The project focuses on interviews related to a veteran's experiences during military service, which falls under public administration and defence.",P84,Public administration and defence; compulsory social security,0.95,"The project focuses on a veteran's experiences during a military operation, which relates to public administration and defence activities.",True,,
