project_id,source_student_id,project_type,project_title,project_description_short,predicted_class_code,predicted_class_title,confidence,reason,manual_label_correct,manual_notes
147,23025313,QD_PROJECT,Species richness and abundance of vascular epiphytes along an elevation gradient,"<p>Because of the difficulty in sampling and the logistics of identifying canopy-dwelling plants, the number of inventories quantifying tropical epiphytes is limited. This has resulted in a substantial gap in knowledge, even though forest canopies contain significant biodiversity and forest biomass.",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to biodiversity and ecology.,,
88,23025313,QD_PROJECT,Leaf Anatomical Properties ,"<p style=""text-align:justify;""><i>Prunus</i> L. subgen. <i>Cerasus</i> Mill. (Rosaceae) contains numerous economically important species, including fruit trees and ornamental plants. This study compares the leaf anatomy and calcium oxalate crystal types of 98 individuals of 14 <i>Prunus</i> subgen.",N72,Scientific research and development,0.95,"The project involves scientific research and development focused on botanical anatomy, which aligns with the activities classified under N72.",,
13,23025313,QD_PROJECT,Qualitative survey instruments for a study on equity from a large-scale private-sector healthcare intervention in Ghana and Kenya: the African Health Markets for Equity (AHME) study,"<p>The African Health Markets for Equity (AHME) Initiative took place in Ghana and Kenya for seven years beginning in 2012. AHME applied four linked interventions to increase access and use of quality healthcare for common childhood and adult illnesses, working with private providers in peri-urban a",R86,Human health activities,0.92,"The project focuses on healthcare interventions and patient experiences, which aligns it with human health activities.",,
549,23025313,QD_PROJECT,Variable energy storage and growth in the sea star Pisaster ochraceus,"<p>The complete data set describes environmentally based variation in size-specific energy storage (dry mass pyloric caeca/dry body mass) and growth of live mass of the intertidal sea star <em>Pisaster ochraceus </em>in British Columbia, Canada. Variation in energy storage and live mass correspond t",A03,Fishing and aquaculture,0.95,"The research focuses on the growth and energy storage of a marine species, which aligns with fishing and aquaculture activities.",,
103,23025313,QD_PROJECT,WALL-E/Vocus AIM data: Online particle phase chemical composition,"<p>The spontaneous formation of OH radicals at the air-water interfaces of organic droplets was invstigated. In our study, we performed on line particle phase size resolved measurements, aiming to understand whether or not the oxidation process depends on the size of the particles. The on line measu",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to chemical processes and measurements.,,
176,23025313,QD_PROJECT,Brief mindfulness coaching enhances selective attention in medical scientists: A pilot study,"<p><span style=""font-size:12.0pt;line-height:115%;font-family:'Times New Roman' , serif;color:black;"">Medical scientists have dual commitments to medicine and research that create hectic and stressful work schedules that can impact well-being as well as cognition. In this study, we evaluated whether",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to cognitive and psychological interventions for medical professionals.,,
356,23025313,QD_PROJECT,Data from: Multivariate phenotypic selection on a complex sexual signal,"Animal signals are complex, comprising multiple components that receivers may use to inform their decisions. Components may carry information of differing value to receivers, and selection on one component could modulate or reverse selection on another, necessitating a multivariate approach to estim",A01,"Crop and animal production, hunting and related service activities",0.85,"The research focuses on animal behavior and sexual selection, which falls under animal production and related activities.",,
656,23025313,QD_PROJECT,Household survey data: incentives influencing tree planting in the Albertine Rift Region of Uganda,"<p>The study assessed the influence of incentives on tree planting by farmers in Kiryanga Sub county, Kagadi district, Albertine Rift Region, Western Uganda. Key informant interviews, focus group discussions and household interviews were conducted to generate data on the influence of incentives on t",A02,Forestry and logging,0.95,The project focuses on tree planting and incentives related to forestry activities.,,
648,23025313,QD_PROJECT,"Data from: Do experiences and perceptions about quality of care differ among social groups in Nepal? : A study of maternal healthcare experiences of women with and without disabilities, and Dalit and ","Background: Suboptimal quality of care and disparities in services by healthcare providers are often reported in Nepal. Experience and perceptions about quality of care may differ according to women’s socio-cultural background, individual characteristics, their exposure and expectations. This study",R86,Human health activities,0.95,"The project focuses on maternal healthcare experiences and perceptions, which falls under human health activities.",,
206,23025313,QD_PROJECT,Balantioides coli in other zoonotic parasites detected in noninvasive fecal samples of artiodactyls with emphasis on the bioinvasive in a state park in Brazil,"<p><strong>Background:</strong> Over the years the mammalian fauna, including artiodactyls, has been decreasing and changing due to the entry of bioinvaders into Conservation Units, highlighting, the free-living pig, <em>Sus scrofa</em>, also called feral pig or wild boar. As it is an exotic animal,",A01,"Crop and animal production, hunting and related service activities",0.95,"The research focuses on gastrointestinal parasites in artiodactyls, which falls under animal production and related activities.",,
202,23025313,QD_PROJECT,Data from: How do organisational characteristics influence teamwork and service delivery in lung cancer diagnostic assessment programmes? A mixed-methods study,Objectives: Diagnostic assessment programs (DAPs) can reduce wait times for cancer diagnosis but optimal DAP design is unknown. This study explored how organizational characteristics influenced multidisciplinary teamwork and diagnostic service delivery in lung cancer DAPs. Design: A mixed methods ap,R86,Human health activities,0.95,"The project focuses on human health activities, specifically related to lung cancer diagnostic assessment and teamwork in healthcare settings.",,
53,23025313,QD_PROJECT,"Interview guide  of study conducted on: Identification of the challenges teachers face in teaching small problem-based learning (PBL) groups in the College of Medicine, King Faisal University, Kingdom","<p><strong>Background:</strong> Recognizing the challenges that teachers face offers a platform for devising innovative teaching strategies, thereby boosting teacher performance. This study seeks to pinpoint the obstacles teachers encounter while conducting small problem-based learning (PBL) groups",Q85,Education,0.95,"The project focuses on educational challenges and strategies within a medical context, aligning it with the education sector.",,
739,23025313,QD_PROJECT,Data from: Socioeconomic determinants of outcome after childhood arterial ischemic stroke,"Objective: To determine whether lower socioeconomic status (SES) is associated with worse one-year neurological outcomes and reduced access to rehabilitation services in children with arterial ischemic stroke (AIS).
Methods: From 2010-2014, Vascular Effects of Infection in Pediatric Stroke observat",R86,Human health activities,0.92,"The project focuses on health outcomes related to pediatric stroke and socioeconomic factors, which aligns with human health activities.",,
756,23025313,QD_PROJECT,Core outcome set for burn care research: Delphi survey data,"<p style=""margin-bottom:11px;""><strong>Background:</strong> Collated evidence from systematic reviews supports clinicians in identifying optimal treatment for patients. Evidence is created from outcomes that, in burn care, include survival, function, cosmesis, pain, and psychological well-being. Cur",R86,Human health activities,0.92,"The project focuses on developing a Core Outcome Set for burn care research, which is directly related to healthcare and medical outcomes.",,
764,23025313,QD_PROJECT,2020 Critical update to Caltrans wildfire vulnerability analysis,"<p>The data and materials presented here support a research project conducted by UC Davis in support of Caltrans, a transportation agency that is conducting a wildfire vulnerability risk assessment for fuels reduction in the right of Way (ROW) to protect Caltrans’ infrastructure and travelers. We re",N72,Scientific research and development,0.9,The project involves scientific research and development related to wildfire vulnerability and risk assessment for transportation infrastructure.,,
310,23025313,QD_PROJECT,Data from: Bringing habitat information into statistical tests of local adaptation in quantitative traits: a case study of nine-spined sticklebacks,"Detection of footprints of historical natural selection on quantitative traits in cross-sectional data sets is challenging, especially when the number of populations to be compared is small and the populations are subject to strong random genetic drift. We extend a recent Bayesian multivariate appro",N72,Scientific research and development,0.95,"The project focuses on scientific research and development related to evolutionary biology and adaptation, which aligns with the activities classified under N72.",,
799,23025313,QD_PROJECT,Teachers' Writings on Experiencing Violence and Receiving Support 2024-2025,"The data consists of writings in which elementary school teachers and special education teachers describe situations of mental or physical violence they have encountered in their work, as well as any support they may have received from their superiors after the incident. The data was originally coll",Q85,Education,0.95,"The project focuses on the experiences of teachers in an educational context, specifically regarding violence and support received, which aligns with the education sector.",,
675,23025313,QD_PROJECT,Wolves are back: Sociopolitical identity and opinions on management of Canis lupus,"<p>In 2010 an interdisciplinary team of social and natural scientists began a project to study society–environment interactions in northeast Oregon. At first, the Communities and Forests in Oregon (CAFOR) project focused on Baker, Union and Wallowa Counties. Subsequently the project’s scope expanded",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to society-environment interactions and public opinion on wildlife management.,,
715,23025313,QD_PROJECT,Data from: Prevalence and correlates of anemia among adolescents in Nepal: findings from a nationally representative cross-sectional survey,"Anemia is regarded as major public health problem among adolescents in Low and Middle-Income Countries (LMICs) but there is limited primary data in many countries, including Nepal. This study investigated the prevalence and correlates of anemia in a nationally representative sample of adolescents wi",R86,Human health activities,0.95,"The research focuses on health-related issues, specifically anemia among adolescents, which falls under human health activities.",,
789,23025313,QD_PROJECT,Quality and Effectiveness of Social Work: Group Interviews with Employees on Social Welfare Services 2024,"The data explores the experiences of employees working in social welfare services for working-age adults, families with children, and older people. It focuses on how these professionals perceive the quality and effectiveness of social welfare services in their daily work. The data was collected as p",R88,Social work activities without accommodation,0.92,"The project focuses on the quality and effectiveness of social welfare services, which falls under social work activities without accommodation.",,
725,23025313,QD_PROJECT,Data from: Crop feeding by brown howlers (Alouatta guariba clamitans) in forest fragments: the conservation value of cultivated species,"Primates inhabiting human-modified habitats often complement their diets with cultivated species. Although this flexible foraging behavior reduces feeding stress in animals inhabiting small or low-quality habitats, its potential economic costs may promote negative human–nonhuman primate interactions",A01,"Crop and animal production, hunting and related service activities",0.92,"The project focuses on the feeding behavior of primates in relation to cultivated crops, which falls under agricultural activities.",,
204,23025313,QD_PROJECT,Data from: Quantitative heterodonty in Crocodylia: variability and decoupling in size and shape across modern and extinct taxa.,"Heterodonty in Crocodylia and closely related taxa has not been defined quantitatively, as the teeth rarely have been measured. This has resulted in a range of qualitative descriptors, with little consensus on the condition of dental morphology in the clade. The purpose of this study is to present a",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to the quantification of dental morphology in Crocodylia.,,
463,23025313,QD_PROJECT,Data from: False exclusion: a case to embed predator performance in classical population models,"We argue that predator-prey dynamics, a cornerstone of ecology, can be driven by insufficiently-explored aspects of predator performance that are inherently prey-dependent: i.e., these have been falsely excluded. Classical -Lotka Volterra based- models tend to only consider prey-dependent ingestion",N72,Scientific research and development,0.95,"The project focuses on scientific research and development in ecology, specifically on predator-prey dynamics and population models.",,
141,23025313,QD_PROJECT," Datasets for manuscript: The nature, representation and measure of genetic information","<p><span lang=""EN-GB"">Current studies in genetics very often refer to notions from information science. The concept of genetic information is still disputed because it attributes semantic traits to what seem to be regular biochemical entities. Some researchers maintain that the use of information in",N72,Scientific research and development,0.95,The project focuses on scientific research and development in the field of genetics and bioinformatics.,,
335,23025313,QD_PROJECT,Data from: Macaque monkeys perceive the flash lag illusion,"Transmission of neural signals in the brain takes time due to the slow biological mechanisms that mediate it. During such delays, the position of moving objects can change substantially. The brain could use statistical regularities in the natural world to compensate neural delays and represent movin",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to neural mechanisms and perception in macaque monkeys.,,
704,23025313,QD_PROJECT,Data from: Evaluating a handheld decision support device in pediatric intensive care settings,"Objective: To evaluate end-user acceptance and the effect of a commercial handheld decision support device in pediatric intensive care settings. The technology, pac2, was designed to assist nurses in calculating medication dose volumes and infusion rates at the bedside.
Materials and Methods: The d",R86,Human health activities,0.95,"The project focuses on evaluating a technology used in healthcare settings, specifically in pediatric intensive care, which aligns with human health activities.",,
689,23025313,QD_PROJECT,"Data from: Assessment of farmers’ knowledge, attitude, practices (KAP) and effectiveness of antiparasitic drug against buffalo louse, <em>Haematopinus tuberculatus</em>","<p>Lice infestations in water buffaloes can lead to decreased weight gain, reduced milk production, and damage to the animals' skin and hair. In addition to causing skin irritation, anorexia, restlessness, and in severe cases, anemia, lice infestations can spread infectious diseases, including anapl",A01,"Crop and animal production, hunting and related service activities",0.95,"The research focuses on animal health and management practices related to livestock, specifically buffaloes.",,
442,23025313,QD_PROJECT,Drosophila melanogaster recombination experiments with inversion heterozygotes,"<p>Recombination suppression in chromosomal inversion heterozygotes is a well-known but poorly understood phenomenon. Surprisingly, recombination suppression extends far outside of inverted regions where there are no intrinsic barriers to normal chromosome pairing, synapsis, double-strand break form",N72,Scientific research and development,0.95,"The project focuses on scientific research and development in genetics, specifically studying recombination in Drosophila melanogaster.",,
496,23025313,QD_PROJECT,Data from: Contemporary climate-driven range shifts: putting evolution back on the table,"As the climate continues to change, species are moving to track their historical niches. Although we are gaining a clearer picture of where and how quickly species ranges are moving, a mechanistic understanding of these changes is still nascent. Evolutionary changes in ranges and range-limiting trai",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to evolutionary biology and climate impacts on species ranges.,,
105,23025313,QD_PROJECT,ASYFAIR Germany dataset: asylum adjudication in Germany (2018/19),"<p style=""margin-bottom:11px;""><b>The Project</b>: ASYFAIR is a multi-disciplinary research project, employing a combination of methodologies to produce rich data sets on legal asylum procedures. The purpose of the study is to examine legal aspects of the Common European Asylum System (CEAS), which",N72,Scientific research and development,0.95,"The project focuses on legal aspects and methodologies related to asylum adjudication, fitting well within scientific research and development.",,
541,23025313,QD_PROJECT,Data from: The conditional nature of genetic interactions: the consequences of wild-type backgrounds on mutational interactions in a genome-wide modifier screen,"The phenotypic outcome of a mutation cannot be simply mapped onto the underlying DNA variant. Instead, the phenotype is a function of the allele, the genetic background in which it occurs and the environment where the mutational effects are expressed. While the influence of genetic background on the",N72,Scientific research and development,0.95,"The project focuses on scientific research and development in genetics, which aligns with the activities classified under N72.",,
710,23025313,QD_PROJECT,Modeling the household cost of pediatric malaria treatment in a rural county in Kenya; do non-user fee payments matter? A partial cost of illness analysis,"<p style=""text-align:justify;""><span><b>Objective: </b>The objective of this study was to develop an econometric model for the cost of treatment of pediatric malaria from a patient perspective in a resource scarce rural setting of Homa-Bay County, Kenya. We sought to investigate the main contributor",R86,Human health activities,0.95,The project focuses on health activities related to pediatric malaria treatment and cost analysis in a healthcare setting.,,
